dataset,scenario,model_id,outer_fold,selected_params,selected_inner_macro_f1,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.42569291161129147,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.4621396279407745,False
student_mat,S0_EARLY_NO_GRADE,xgboost,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",0.4497786566408557,False
student_mat,S0_EARLY_NO_GRADE,mlp,0,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}",0.38886935899699004,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.44195253065407253,False
student_mat,S0_EARLY_NO_GRADE,random_forest,1,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.47508063267922135,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",0.4561711084746056,False
student_mat,S0_EARLY_NO_GRADE,mlp,1,"{""alpha"": 0.001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.37060990793256243,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,2,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.3938231199663469,False
student_mat,S0_EARLY_NO_GRADE,random_forest,2,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.399872976835604,False
student_mat,S0_EARLY_NO_GRADE,xgboost,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.40140987053687943,False
student_mat,S0_EARLY_NO_GRADE,mlp,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}",0.39301425034732174,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,3,"{""C"": 10.0, ""class_weight"": null}",0.442221204422307,False
student_mat,S0_EARLY_NO_GRADE,random_forest,3,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.4328780396936023,False
student_mat,S0_EARLY_NO_GRADE,xgboost,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.43367888994487463,False
student_mat,S0_EARLY_NO_GRADE,mlp,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}",0.41274311743367037,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,4,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.4153427645062175,False
student_mat,S0_EARLY_NO_GRADE,random_forest,4,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.40332104168494504,False
student_mat,S0_EARLY_NO_GRADE,xgboost,4,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}",0.4129764514267245,False
student_mat,S0_EARLY_NO_GRADE,mlp,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.3822698068091426,False
student_mat,S1_MID_G1_ONLY,logistic_regression,0,"{""C"": 1.0, ""class_weight"": null}",0.761552926066333,False
