dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,early,none,logistic_regression,1,0.5063291139240507,0.44885716540937953,0.4207688862861277,0.41972159706593315,0.4230769230769231,0.4731182795698925,4.98208816979844,-0.24083831753757368,0.5536299137112151
student-mat,early,none,random_forest,1,0.45569620253164556,0.39305555555555555,0.38821810373534515,0.38739582060369054,0.4423076923076923,0.46,5.383548545031322,-0.4488707504516949,0.586561181434599
student-mat,early,none,xgboost,1,0.5316455696202531,0.5280824194084414,0.4246758988138299,0.41639549081409544,0.36538461538461536,0.4418604651162791,4.6797773938186635,-0.09482011557579906,0.5087957116244715
student-mat,early,none,mlp,1,0.4050632911392405,0.3643650793650794,0.36119627498937845,0.33351120347876556,0.11538461538461539,0.17647058823529413,5.78504729037704,-0.6730395393789268,0.38317730112581205
student-mat,early,none,logistic_regression,2,0.5253164556962026,0.4912768647281922,0.42751214302938445,0.42449625389734275,0.36538461538461536,0.4367816091954023,4.854692366636999,-0.17819128831020326,0.5790355242340576
student-mat,early,none,random_forest,2,0.4810126582278481,0.42913069404474863,0.4219458702217323,0.4241316381544252,0.46153846153846156,0.4897959183673469,5.3944122519792455,-0.4547241344956663,0.6052180028129395
student-mat,early,none,xgboost,2,0.5126582278481012,0.4810557684120902,0.41977562667217844,0.4180325588143519,0.3076923076923077,0.4050632911392405,4.799459357738357,-0.1515346609748196,0.5437596104567564
student-mat,early,none,mlp,2,0.41139240506329117,0.2781848775986539,0.3500666000666001,0.30214709025551345,0.6346153846153846,0.46808510638297873,5.845722226930594,-0.7083180432115113,0.3698307277989266
student-mat,early,class_weight,logistic_regression,1,0.41139240506329117,0.41322398980556585,0.4408953115849668,0.4094204197743354,0.4807692307692308,0.47619047619047616,5.874882169569796,-0.7254035966371579,0.5318050584343752
student-mat,early,class_weight,random_forest,1,0.5632911392405063,0.5137992831541219,0.49163193128710375,0.4964913800571775,0.5192307692307693,0.5567010309278351,4.941909383470156,-0.22090517187431957,0.5973617154062871
student-mat,early,class_weight,xgboost,1,0.4430379746835443,0.44901656314699795,0.4780305900995556,0.44000389677099383,0.5576923076923077,0.5370370370370371,5.741394220477872,-0.6478858079467249,0.4728633048413675
student-mat,early,class_weight,mlp,1,0.36075949367088606,0.3720788654444829,0.3713585265309403,0.35410830999066295,0.4230769230769231,0.43137254901960786,6.4677877578823395,-1.091240099385375,0.39051579068977765
student-mat,early,class_weight,logistic_regression,2,0.41139240506329117,0.41322398980556585,0.4408953115849668,0.4094204197743354,0.4807692307692308,0.47619047619047616,5.874882169569796,-0.7254035966371577,0.5487185498083756
student-mat,early,class_weight,random_forest,2,0.5063291139240507,0.4363302449392295,0.4341778910744429,0.4336180432578416,0.4807692307692308,0.49504950495049505,5.582805882259148,-0.5581075526777028,0.6117386390454568
student-mat,early,class_weight,xgboost,2,0.4177215189873418,0.41878858024691357,0.4204875584185929,0.4053735757089412,0.38461538461538464,0.43478260869565216,5.9434305824673,-0.76590268623869,0.5009069012690194
student-mat,early,class_weight,mlp,2,0.4936708860759494,0.47223546444903514,0.4174331415710726,0.40956625074272135,0.5384615384615384,0.509090909090909,4.943670035279612,-0.22177526950247728,0.36332471611465716
student-mat,early,smotenc,logistic_regression,1,0.4050632911392405,0.3967091470815403,0.40282131661442006,0.39096293424651635,0.5,0.49523809523809526,5.928503343908493,-0.757043510388355,0.5844781832454564
student-mat,early,smotenc,random_forest,1,0.4620253164556962,0.407051282051282,0.4101186170151688,0.40777559868653396,0.5384615384615384,0.5185185185185185,5.406717575082766,-0.4613685163834178,0.5535443037974683
student-mat,early,smotenc,xgboost,1,0.4620253164556962,0.44425287356321846,0.46027535682708093,0.4462229402883164,0.5384615384615384,0.509090909090909,5.673193684537703,-0.6089687140327524,0.48521310185329825
student-mat,early,smotenc,mlp,1,0.34810126582278483,0.36018796270299824,0.3451290089221124,0.33739096567485544,0.3269230769230769,0.38202247191011235,6.310529677461836,-0.990783373225324,0.4313512224011997
